Datum,Produkt,Kategorie,Preis,Menge,Region
2025-01-27,Smartphone,Elektronik,800.0,19,Nord
2025-04-17,Tablet,Elektronik,400.0,10,Nord
2025-10-24,Kaffee,Lebensmittel,8.0,16,Nord
2025-03-19,Jeans,Bekleidung,60.0,20,West
2025-02-05,Tastatur,Elektronik,45.0,8,Süd
2025-09-19,Maus,Elektronik,25.0,15,Nord
2025-04-13,Smartwatch,Elektronik,200.0,17,Süd
2025-10-14,Tisch,Möbel,300.0,2,West
2025-01-26,Milch,Lebensmittel,1.5,20,Süd
2025-10-10,Stuhl,Möbel,150.0,19,Ost
2025-10-10,Stuhl,Möbel,150.0,3,Süd
2025-06-26,Milch,Lebensmittel,1.5,7,Nord
2025-06-17,Smartphone,Elektronik,800.0,3,Süd
2025-08-26,Regal,Möbel,200.0,14,Nord
2025-07-13,Kopfhörer,Elektronik,120.0,11,Süd
2025-10-28,Kaffee,Lebensmittel,8.0,3,Nord
2025-05-04,Milch,Lebensmittel,1.5,4,Ost
2025-07-15,Smartwatch,Elektronik,200.0,20,Ost
2025-03-01,Milch,Lebensmittel,1.5,18,Süd
2025-07-12,Tastatur,Elektronik,45.0,1,West
2025-03-29,Kaffee,Lebensmittel,8.0,6,Ost
2025-06-17,Säge,Werkzeug,70.0,15,Ost
2025-02-25,Hammer,Werkzeug,20.0,20,West
2025-02-19,Jeans,Bekleidung,60.0,1,Süd
2025-10-23,Schraubenzieher,Werkzeug,15.0,20,Nord
2025-09-06,Tablet,Elektronik,400.0,10,West
2025-07-24,T-Shirt,Bekleidung,20.0,8,Ost
2025-02-16,Regal,Möbel,200.0,8,West
2025-04-07,Schrank,Möbel,500.0,13,Nord
2025-10-01,Tisch,Möbel,300.0,15,Süd
2025-10-18,Sofa,Möbel,900.0,10,Süd
2025-02-05,Hammer,Werkzeug,20.0,10,Nord
2025-05-15,Smartphone,Elektronik,800.0,17,West
2025-08-31,Apfel,Lebensmittel,2.0,19,West
2025-07-03,Tisch,Möbel,300.0,20,Ost
2025-05-29,Säge,Werkzeug,70.0,14,West
2025-07-26,Kaffee,Lebensmittel,8.0,19,West
2025-05-10,Sneaker,Bekleidung,100.0,3,West
2025-09-21,Bohrmaschine,Werkzeug,150.0,7,West
2025-10-07,Jeans,Bekleidung,60.0,16,Nord
2025-01-02,Smartphone,Elektronik,800.0,3,Süd
2025-11-02,Kaffee,Lebensmittel,8.0,11,Nord
2025-03-04,Tablet,Elektronik,400.0,9,Ost
2025-09-13,Tastatur,Elektronik,45.0,12,Süd
2025-11-06,Maus,Elektronik,25.0,2,West
2025-02-13,T-Shirt,Bekleidung,20.0,11,Nord
2025-05-02,Sneaker,Bekleidung,100.0,2,Nord
2025-07-19,Milch,Lebensmittel,1.5,8,West
2025-01-17,Smartwatch,Elektronik,200.0,7,Nord
2025-01-06,Apfel,Lebensmittel,2.0,1,Ost
2025-11-10,Schraubenzieher,Werkzeug,15.0,5,Nord
2025-10-29,Jacke,Bekleidung,120.0,20,Ost
2025-11-30,Schrank,Möbel,500.0,18,Süd
2025-07-31,Sofa,Möbel,900.0,16,Süd
2025-03-30,Sneaker,Bekleidung,100.0,8,Süd
2025-03-07,Schrank,Möbel,500.0,18,Süd
2025-01-07,Smartwatch,Elektronik,200.0,11,Süd
2025-06-03,Laptop,Elektronik,1200.0,20,Ost
2025-02-27,Schraubenzieher,Werkzeug,15.0,3,Ost
2025-08-22,Apfel,Lebensmittel,2.0,4,Süd
2025-05-31,Smartphone,Elektronik,800.0,5,Ost
2025-08-18,Schraubenzieher,Werkzeug,15.0,17,Süd
2025-08-17,Jeans,Bekleidung,60.0,20,Süd
2025-11-20,Säge,Werkzeug,70.0,18,Süd
2025-09-17,Tablet,Elektronik,400.0,9,Süd
2025-07-15,Säge,Werkzeug,70.0,20,West
2025-03-09,Schraubenzieher,Werkzeug,15.0,1,Süd
2025-05-13,Tablet,Elektronik,400.0,11,Süd
2025-07-17,Tisch,Möbel,300.0,12,Süd
2025-12-20,Kopfhörer,Elektronik,120.0,20,Ost
2025-06-09,Jacke,Bekleidung,120.0,4,Nord
2025-06-16,Hammer,Werkzeug,20.0,13,Süd
2025-09-29,Schrank,Möbel,500.0,3,Süd
2025-12-13,Stuhl,Möbel,150.0,18,Süd
2025-09-08,Brot,Lebensmittel,3.0,10,Nord
2025-12-21,Jacke,Bekleidung,120.0,17,Ost
2025-11-24,Tablet,Elektronik,400.0,19,Nord
2025-07-27,Laptop,Elektronik,1200.0,1,Süd
2025-04-21,Jacke,Bekleidung,120.0,15,West
2025-12-29,Schrank,Möbel,500.0,8,Süd
2025-08-16,Stuhl,Möbel,150.0,10,Nord
2025-11-30,Tisch,Möbel,300.0,18,Ost
2025-04-06,Monitor,Elektronik,250.0,11,Ost
2025-07-31,Hammer,Werkzeug,20.0,18,West
2025-07-16,Apfel,Lebensmittel,2.0,16,Süd
2025-04-07,Schraubenzieher,Werkzeug,15.0,3,Ost
2025-02-16,Tisch,Möbel,300.0,9,West
2025-10-07,Schrank,Möbel,500.0,11,Nord
2025-05-06,Tablet,Elektronik,400.0,5,Ost
2025-08-18,Sneaker,Bekleidung,100.0,1,Nord
2025-10-18,Schrank,Möbel,500.0,16,Ost
2025-10-03,Tastatur,Elektronik,45.0,16,Süd
2025-03-08,Tisch,Möbel,300.0,4,Ost
2025-02-06,Sneaker,Bekleidung,100.0,14,Ost
2025-11-18,Schrank,Möbel,500.0,6,Nord
2025-03-16,T-Shirt,Bekleidung,20.0,12,Nord
2025-03-23,Regal,Möbel,200.0,19,Süd
2025-08-08,Smartwatch,Elektronik,200.0,10,Nord
2025-04-17,Schraubenzieher,Werkzeug,15.0,20,West
2025-01-08,T-Shirt,Bekleidung,20.0,13,Nord
2025-09-09,Monitor,Elektronik,250.0,3,West
2025-02-03,Stuhl,Möbel,150.0,7,Nord
2025-08-08,Milch,Lebensmittel,1.5,10,Ost
2025-09-26,Smartphone,Elektronik,800.0,11,West
2025-10-17,Tastatur,Elektronik,45.0,7,Süd
2025-06-02,Brot,Lebensmittel,3.0,19,Nord
2025-05-24,Kopfhörer,Elektronik,120.0,4,Nord
2025-03-17,Tastatur,Elektronik,45.0,20,Ost
2025-09-13,Kopfhörer,Elektronik,120.0,18,West
2025-11-25,Schraubenzieher,Werkzeug,15.0,19,Süd
2025-01-08,Regal,Möbel,200.0,6,Süd
2025-08-05,Brot,Lebensmittel,3.0,3,Ost
2025-04-25,Monitor,Elektronik,250.0,16,West
2025-06-17,Schrank,Möbel,500.0,17,Ost
2025-07-19,T-Shirt,Bekleidung,20.0,10,West
2025-04-11,Tisch,Möbel,300.0,13,West
2025-05-10,Kopfhörer,Elektronik,120.0,3,Nord
2025-12-01,Sneaker,Bekleidung,100.0,6,Ost
2025-03-01,Sofa,Möbel,900.0,16,West
2025-08-23,Hammer,Werkzeug,20.0,1,Süd
2025-12-20,Tablet,Elektronik,400.0,10,Süd
2025-12-15,Regal,Möbel,200.0,18,Nord
2025-10-05,Monitor,Elektronik,250.0,15,Ost
2025-07-09,Hammer,Werkzeug,20.0,5,Ost
2025-11-04,Kaffee,Lebensmittel,8.0,15,West
2025-05-29,Tisch,Möbel,300.0,20,West
2025-03-24,Sneaker,Bekleidung,100.0,7,Nord
2025-03-02,Brot,Lebensmittel,3.0,7,West
2025-11-13,Smartphone,Elektronik,800.0,1,West
2025-05-06,Sneaker,Bekleidung,100.0,8,Nord
2025-02-02,Milch,Lebensmittel,1.5,10,Ost
2025-03-21,Kaffee,Lebensmittel,8.0,20,West
2025-08-04,Lampe,Möbel,80.0,6,West
2025-02-20,Monitor,Elektronik,250.0,1,Süd
2025-08-05,Bohrmaschine,Werkzeug,150.0,10,Süd
2025-05-20,Jeans,Bekleidung,60.0,12,Nord
2025-02-27,Monitor,Elektronik,250.0,6,Ost
2025-05-07,Jeans,Bekleidung,60.0,3,West
2025-07-13,Sofa,Möbel,900.0,1,Ost
2025-01-26,Sneaker,Bekleidung,100.0,2,Nord
2025-02-01,Monitor,Elektronik,250.0,8,West
2025-04-25,Sneaker,Bekleidung,100.0,9,Ost
2025-10-19,Hammer,Werkzeug,20.0,15,Süd
2025-09-21,Schraubenzieher,Werkzeug,15.0,11,Ost
2025-01-27,Stuhl,Möbel,150.0,6,West
2025-06-06,Regal,Möbel,200.0,14,Ost
2025-07-23,Tastatur,Elektronik,45.0,9,West
2025-05-13,Tablet,Elektronik,400.0,16,Ost
2025-11-08,Monitor,Elektronik,250.0,6,West
2025-08-16,Sneaker,Bekleidung,100.0,8,Ost
2025-03-20,Laptop,Elektronik,1200.0,5,West
2025-12-07,Kaffee,Lebensmittel,8.0,19,Ost
2025-01-05,Kopfhörer,Elektronik,120.0,15,Ost
2025-06-11,Stuhl,Möbel,150.0,9,Süd
2025-08-12,Sneaker,Bekleidung,100.0,12,Nord
2025-07-01,Monitor,Elektronik,250.0,12,Nord
2025-12-29,Laptop,Elektronik,1200.0,12,Nord
2025-12-05,Maus,Elektronik,25.0,14,West
2025-02-17,Monitor,Elektronik,250.0,6,West
2025-10-04,Jeans,Bekleidung,60.0,5,Nord
2025-01-03,Monitor,Elektronik,250.0,10,Süd
2025-07-04,Jeans,Bekleidung,60.0,4,Nord
2025-01-11,Maus,Elektronik,25.0,6,Nord
2025-10-04,Tablet,Elektronik,400.0,1,West
2025-11-07,Brot,Lebensmittel,3.0,1,West
2025-05-16,Smartwatch,Elektronik,200.0,14,Süd
2025-06-21,Tisch,Möbel,300.0,13,Süd
2025-03-30,Brot,Lebensmittel,3.0,11,Ost
2025-04-18,Stuhl,Möbel,150.0,17,Süd
2025-10-13,Milch,Lebensmittel,1.5,14,Nord
2025-05-17,Hammer,Werkzeug,20.0,13,Nord
2025-04-22,Apfel,Lebensmittel,2.0,10,Ost
2025-05-02,Kaffee,Lebensmittel,8.0,15,Ost
2025-02-16,Sofa,Möbel,900.0,16,Nord
2025-08-26,Kopfhörer,Elektronik,120.0,1,Nord
2025-01-09,Säge,Werkzeug,70.0,8,Ost
2025-10-29,Tablet,Elektronik,400.0,8,Süd
2025-10-16,Smartwatch,Elektronik,200.0,19,Nord
2025-10-29,Brot,Lebensmittel,3.0,18,Nord
2025-01-19,Kaffee,Lebensmittel,8.0,8,Ost
2025-12-29,Smartphone,Elektronik,800.0,9,Ost
2025-09-23,Jacke,Bekleidung,120.0,12,Nord
2025-07-06,Milch,Lebensmittel,1.5,3,Nord
2025-02-08,Jeans,Bekleidung,60.0,16,West
2025-06-04,Schraubenzieher,Werkzeug,15.0,20,West
2025-11-01,Smartphone,Elektronik,800.0,12,Nord
2025-05-05,Schraubenzieher,Werkzeug,15.0,15,Süd
2025-08-13,T-Shirt,Bekleidung,20.0,10,Nord
2025-01-12,Jeans,Bekleidung,60.0,4,West
2025-07-06,Apfel,Lebensmittel,2.0,11,Nord
2025-06-30,Regal,Möbel,200.0,3,West
2025-05-25,Bohrmaschine,Werkzeug,150.0,13,Nord
2025-10-10,Tastatur,Elektronik,45.0,8,Ost
2025-05-25,Kaffee,Lebensmittel,8.0,2,Nord
2025-01-07,Smartwatch,Elektronik,200.0,13,Ost
2025-03-15,Smartphone,Elektronik,800.0,7,Süd
2025-04-10,Regal,Möbel,200.0,13,West
2025-03-22,Smartphone,Elektronik,800.0,13,Nord
2025-06-26,Säge,Werkzeug,70.0,20,Nord
2025-03-03,Apfel,Lebensmittel,2.0,7,Nord
2025-10-11,Säge,Werkzeug,70.0,1,Süd
2025-03-18,Maus,Elektronik,25.0,1,West
2025-09-09,Jeans,Bekleidung,60.0,9,Ost
2025-12-31,Tablet,Elektronik,400.0,9,West
2025-01-17,Sofa,Möbel,900.0,14,Süd
2025-06-08,Laptop,Elektronik,1200.0,14,Nord
2025-05-28,Brot,Lebensmittel,3.0,2,Nord
2025-01-30,Apfel,Lebensmittel,2.0,4,Ost
2025-12-06,Kaffee,Lebensmittel,8.0,19,Ost
2025-04-10,Brot,Lebensmittel,3.0,6,Nord
2025-11-02,Bohrmaschine,Werkzeug,150.0,1,West
2025-06-07,Schraubenzieher,Werkzeug,15.0,10,Süd
2025-06-30,Smartphone,Elektronik,800.0,3,Nord
2025-12-23,Stuhl,Möbel,150.0,8,Ost
2025-11-05,Kopfhörer,Elektronik,120.0,19,Süd
2025-04-09,Kaffee,Lebensmittel,8.0,3,Süd
2025-02-28,Monitor,Elektronik,250.0,9,West
2025-10-07,Brot,Lebensmittel,3.0,19,Süd
2025-09-10,Kaffee,Lebensmittel,8.0,11,Nord
2025-07-17,Stuhl,Möbel,150.0,17,Ost
2025-06-15,Tisch,Möbel,300.0,13,West
2025-12-31,Brot,Lebensmittel,3.0,17,Süd
2025-06-24,Maus,Elektronik,25.0,16,Nord
2025-12-31,Schrank,Möbel,500.0,6,West
2025-09-06,T-Shirt,Bekleidung,20.0,18,Ost
2025-03-04,Sofa,Möbel,900.0,15,Nord
2025-08-08,Jeans,Bekleidung,60.0,8,Süd
2025-03-10,Bohrmaschine,Werkzeug,150.0,15,Nord
2025-04-02,Laptop,Elektronik,1200.0,3,Süd
2025-08-20,Bohrmaschine,Werkzeug,150.0,19,West
2025-05-02,Regal,Möbel,200.0,11,Ost
2025-12-06,Kaffee,Lebensmittel,8.0,16,Nord
2025-09-20,Tablet,Elektronik,400.0,2,Nord
2025-04-01,Apfel,Lebensmittel,2.0,15,Ost
2025-10-18,Monitor,Elektronik,250.0,10,Süd
2025-03-11,Milch,Lebensmittel,1.5,19,Ost
2025-09-24,Tastatur,Elektronik,45.0,8,Süd
2025-06-22,Säge,Werkzeug,70.0,7,Süd
2025-01-05,Bohrmaschine,Werkzeug,150.0,17,Süd
2025-03-31,Regal,Möbel,200.0,18,Ost
2025-09-13,Brot,Lebensmittel,3.0,3,Ost
2025-06-13,Brot,Lebensmittel,3.0,1,Süd
2025-02-04,Schrank,Möbel,500.0,3,Nord
2025-10-23,Brot,Lebensmittel,3.0,1,Süd
2025-10-16,Monitor,Elektronik,250.0,3,Süd
2025-11-24,Stuhl,Möbel,150.0,18,West
2025-10-03,Apfel,Lebensmittel,2.0,3,Ost
2025-01-04,Sneaker,Bekleidung,100.0,14,Nord
2025-10-18,Apfel,Lebensmittel,2.0,13,West
2025-02-12,Smartphone,Elektronik,800.0,5,Nord
2025-06-15,Brot,Lebensmittel,3.0,7,Süd
2025-08-29,Stuhl,Möbel,150.0,12,Ost
2025-08-08,Regal,Möbel,200.0,8,West
2025-03-11,Schrank,Möbel,500.0,17,Süd
2025-05-03,Schraubenzieher,Werkzeug,15.0,6,Süd
2025-09-16,T-Shirt,Bekleidung,20.0,6,Ost
2025-04-03,Hammer,Werkzeug,20.0,20,Ost
2025-09-14,Smartwatch,Elektronik,200.0,18,Nord
2025-09-07,Sneaker,Bekleidung,100.0,13,Nord
2025-08-16,Lampe,Möbel,80.0,17,Süd
2025-05-04,Milch,Lebensmittel,1.5,19,West
2025-09-23,Tastatur,Elektronik,45.0,19,Nord
2025-05-17,Milch,Lebensmittel,1.5,3,Süd
2025-03-21,Tisch,Möbel,300.0,12,Süd
2025-10-02,Regal,Möbel,200.0,6,West
2025-01-19,Tablet,Elektronik,400.0,3,West
2025-06-30,Sneaker,Bekleidung,100.0,19,West
2025-03-29,Schraubenzieher,Werkzeug,15.0,16,West
2025-12-23,Tisch,Möbel,300.0,20,Süd
2025-07-09,Kopfhörer,Elektronik,120.0,12,Ost
2025-07-03,Tablet,Elektronik,400.0,13,Nord
2025-11-24,Sneaker,Bekleidung,100.0,11,Nord
2025-11-09,Lampe,Möbel,80.0,15,Nord
2025-02-04,Tastatur,Elektronik,45.0,6,Nord
2025-09-08,Säge,Werkzeug,70.0,18,Ost
2025-01-23,Maus,Elektronik,25.0,13,Süd
2025-05-06,Tablet,Elektronik,400.0,12,Ost
2025-04-10,Regal,Möbel,200.0,8,Nord
2025-09-27,Smartwatch,Elektronik,200.0,14,Ost
2025-05-08,Monitor,Elektronik,250.0,8,Ost
2025-11-05,Milch,Lebensmittel,1.5,1,Ost
2025-09-24,Smartwatch,Elektronik,200.0,16,Süd
2025-10-12,Tablet,Elektronik,400.0,7,Nord
2025-04-30,Tastatur,Elektronik,45.0,14,West
2025-12-15,Bohrmaschine,Werkzeug,150.0,9,Nord
2025-04-05,Bohrmaschine,Werkzeug,150.0,10,Süd
2025-02-19,Jacke,Bekleidung,120.0,13,Nord
2025-08-06,Tastatur,Elektronik,45.0,6,Nord
2025-09-27,Jacke,Bekleidung,120.0,12,Nord
2025-05-31,Laptop,Elektronik,1200.0,12,West
2025-06-30,Bohrmaschine,Werkzeug,150.0,3,Nord
2025-10-05,Brot,Lebensmittel,3.0,6,West
2025-12-15,Kaffee,Lebensmittel,8.0,5,Süd
2025-07-11,Säge,Werkzeug,70.0,14,West
2025-10-27,Laptop,Elektronik,1200.0,4,West
2025-04-28,Brot,Lebensmittel,3.0,14,Nord
2025-04-19,Kaffee,Lebensmittel,8.0,5,Nord
2025-01-19,Lampe,Möbel,80.0,10,Ost
2025-07-24,Lampe,Möbel,80.0,13,Süd
2025-04-05,Jacke,Bekleidung,120.0,13,West
2025-11-11,Jeans,Bekleidung,60.0,15,West
2025-05-04,Laptop,Elektronik,1200.0,11,Ost
2025-06-29,Schraubenzieher,Werkzeug,15.0,6,Süd
2025-12-17,Monitor,Elektronik,250.0,2,West
2025-06-08,Maus,Elektronik,25.0,5,Ost
2025-01-26,Hammer,Werkzeug,20.0,5,Ost
2025-06-12,Jacke,Bekleidung,120.0,2,Süd
2025-11-22,Schraubenzieher,Werkzeug,15.0,9,Ost
2025-04-07,Stuhl,Möbel,150.0,15,Süd
2025-02-04,Stuhl,Möbel,150.0,12,West
2025-01-25,Jacke,Bekleidung,120.0,16,Süd
2025-10-19,Kopfhörer,Elektronik,120.0,19,Süd
2025-04-22,Sofa,Möbel,900.0,2,Nord
2025-04-23,Brot,Lebensmittel,3.0,2,Süd
2025-01-03,Apfel,Lebensmittel,2.0,8,Süd
2025-05-27,Laptop,Elektronik,1200.0,20,West
2025-07-02,Hammer,Werkzeug,20.0,20,Süd
2025-10-19,Bohrmaschine,Werkzeug,150.0,16,Nord
2025-12-17,Maus,Elektronik,25.0,16,West
2025-01-04,Sneaker,Bekleidung,100.0,6,Nord
2025-11-27,Brot,Lebensmittel,3.0,9,Süd
2025-07-03,Maus,Elektronik,25.0,7,Süd
2025-02-07,Apfel,Lebensmittel,2.0,1,Süd
2025-10-15,Schrank,Möbel,500.0,9,Nord
2025-01-14,Tastatur,Elektronik,45.0,18,Süd
2025-07-24,Jeans,Bekleidung,60.0,6,Süd
2025-02-22,Laptop,Elektronik,1200.0,10,Nord
2025-09-26,Tisch,Möbel,300.0,18,West
2025-04-17,T-Shirt,Bekleidung,20.0,13,Ost
2025-02-27,Jacke,Bekleidung,120.0,3,Ost
2025-09-21,Kaffee,Lebensmittel,8.0,2,Ost
2025-07-08,Smartphone,Elektronik,800.0,15,West
2025-05-30,Smartwatch,Elektronik,200.0,6,Nord
2025-04-17,Regal,Möbel,200.0,8,Süd
2025-08-19,Kaffee,Lebensmittel,8.0,17,Ost
2025-08-14,Bohrmaschine,Werkzeug,150.0,11,Nord
2025-01-18,Smartphone,Elektronik,800.0,19,Süd
2025-07-30,Tablet,Elektronik,400.0,6,Ost
2025-03-05,Regal,Möbel,200.0,4,Nord
2025-09-29,Kaffee,Lebensmittel,8.0,10,Nord
2025-09-21,Kaffee,Lebensmittel,8.0,8,Ost
2025-02-23,Schraubenzieher,Werkzeug,15.0,10,Süd
2025-10-23,Schraubenzieher,Werkzeug,15.0,5,Nord
2025-10-27,Kaffee,Lebensmittel,8.0,16,Ost
2025-09-04,Jeans,Bekleidung,60.0,16,Ost
2025-02-18,Monitor,Elektronik,250.0,4,Ost
2025-10-14,Sneaker,Bekleidung,100.0,20,Ost
2025-07-25,Brot,Lebensmittel,3.0,3,Nord
2025-12-20,Jeans,Bekleidung,60.0,3,Ost
2025-08-31,Tablet,Elektronik,400.0,7,West
2025-11-15,Regal,Möbel,200.0,7,West
2025-02-14,Schrank,Möbel,500.0,18,West
2025-08-04,Hammer,Werkzeug,20.0,7,West
2025-04-19,Stuhl,Möbel,150.0,10,Nord
2025-10-05,Sneaker,Bekleidung,100.0,6,West
2025-12-03,Sofa,Möbel,900.0,17,West
2025-11-18,Brot,Lebensmittel,3.0,15,Süd
2025-11-12,Säge,Werkzeug,70.0,20,West
2025-12-03,Maus,Elektronik,25.0,3,West
2025-09-13,Lampe,Möbel,80.0,15,Ost
2025-06-09,Sofa,Möbel,900.0,2,Süd
2025-02-17,Smartwatch,Elektronik,200.0,14,Nord
2025-04-18,Monitor,Elektronik,250.0,14,Ost
2025-04-17,Monitor,Elektronik,250.0,19,Nord
2025-02-13,Tablet,Elektronik,400.0,20,West
2025-12-31,Regal,Möbel,200.0,16,Nord
2025-09-01,Bohrmaschine,Werkzeug,150.0,18,Süd
2025-02-21,Apfel,Lebensmittel,2.0,4,Süd
2025-04-09,Bohrmaschine,Werkzeug,150.0,3,Nord
2025-04-09,Maus,Elektronik,25.0,19,West
2025-03-15,Regal,Möbel,200.0,20,Ost
2025-01-26,Tisch,Möbel,300.0,20,Nord
2025-12-25,Smartphone,Elektronik,800.0,13,West
2025-10-03,Tisch,Möbel,300.0,8,Nord
2025-11-21,Stuhl,Möbel,150.0,10,Nord
2025-06-12,Jeans,Bekleidung,60.0,2,Süd
2025-09-29,Jacke,Bekleidung,120.0,2,West
2025-07-14,Tastatur,Elektronik,45.0,6,Nord
2025-10-24,Jacke,Bekleidung,120.0,12,Nord
2025-01-10,Maus,Elektronik,25.0,1,Süd
2025-05-15,Apfel,Lebensmittel,2.0,6,Süd
2025-09-20,Smartphone,Elektronik,800.0,17,West
2025-06-02,Schraubenzieher,Werkzeug,15.0,2,West
2025-12-18,Bohrmaschine,Werkzeug,150.0,9,Süd
2025-08-12,T-Shirt,Bekleidung,20.0,9,Nord
2025-05-29,Lampe,Möbel,80.0,2,Nord
2025-12-24,Laptop,Elektronik,1200.0,3,Süd
2025-03-15,Schraubenzieher,Werkzeug,15.0,18,Nord
2025-03-09,Monitor,Elektronik,250.0,18,West
2025-12-27,Hammer,Werkzeug,20.0,12,Süd
2025-05-19,Smartphone,Elektronik,800.0,20,Nord
2025-01-20,Lampe,Möbel,80.0,9,Nord
2025-01-28,Sneaker,Bekleidung,100.0,14,West
2025-10-30,Brot,Lebensmittel,3.0,4,Ost
2025-03-02,Milch,Lebensmittel,1.5,2,Nord
2025-09-04,Milch,Lebensmittel,1.5,1,Ost
2025-05-27,Apfel,Lebensmittel,2.0,13,Nord
2025-01-28,Laptop,Elektronik,1200.0,16,Nord
2025-07-24,Monitor,Elektronik,250.0,9,Ost
2025-02-21,Milch,Lebensmittel,1.5,2,Ost
2025-06-15,Säge,Werkzeug,70.0,20,West
2025-08-02,Jacke,Bekleidung,120.0,9,Nord
2025-07-31,Tablet,Elektronik,400.0,9,Süd
2025-12-29,Schraubenzieher,Werkzeug,15.0,15,Nord
2025-10-17,Sneaker,Bekleidung,100.0,2,West
2025-12-05,Tisch,Möbel,300.0,4,Ost
2025-07-09,Bohrmaschine,Werkzeug,150.0,15,Ost
2025-04-04,Jacke,Bekleidung,120.0,19,West
2025-11-24,Tastatur,Elektronik,45.0,11,Ost
2025-08-14,Schrank,Möbel,500.0,15,West
2025-02-25,Stuhl,Möbel,150.0,12,Nord
2025-01-18,Säge,Werkzeug,70.0,7,Ost
2025-04-07,Lampe,Möbel,80.0,16,West
2025-08-10,Monitor,Elektronik,250.0,13,West
2025-11-11,Säge,Werkzeug,70.0,17,Nord
2025-01-31,Lampe,Möbel,80.0,2,Ost
2025-01-12,T-Shirt,Bekleidung,20.0,3,Nord
2025-10-16,Milch,Lebensmittel,1.5,2,West
2025-04-14,Maus,Elektronik,25.0,13,Nord
2025-04-01,Stuhl,Möbel,150.0,4,West
2025-01-20,Monitor,Elektronik,250.0,2,Nord
2025-02-07,Kaffee,Lebensmittel,8.0,14,Süd
2025-08-08,Brot,Lebensmittel,3.0,1,Ost
2025-10-16,Stuhl,Möbel,150.0,7,Ost
2025-01-21,Tastatur,Elektronik,45.0,2,Nord
2025-11-18,Milch,Lebensmittel,1.5,8,Süd
2025-12-18,Kopfhörer,Elektronik,120.0,11,Nord
2025-03-05,Smartwatch,Elektronik,200.0,8,Süd
2025-03-26,Stuhl,Möbel,150.0,17,Ost
2025-12-18,Kaffee,Lebensmittel,8.0,10,Süd
2025-12-23,Apfel,Lebensmittel,2.0,20,Süd
2025-03-14,Sofa,Möbel,900.0,8,Ost
2025-12-24,Tastatur,Elektronik,45.0,11,Nord
2025-04-20,Brot,Lebensmittel,3.0,6,Süd
2025-01-05,Tastatur,Elektronik,45.0,19,Süd
2025-08-24,Bohrmaschine,Werkzeug,150.0,13,West
2025-07-14,Laptop,Elektronik,1200.0,18,Ost
2025-06-21,Brot,Lebensmittel,3.0,16,Süd
2025-06-20,Bohrmaschine,Werkzeug,150.0,15,West
2025-05-23,Kaffee,Lebensmittel,8.0,13,West
2025-04-01,Maus,Elektronik,25.0,15,West
2025-04-12,Tastatur,Elektronik,45.0,6,Nord
2025-04-17,Laptop,Elektronik,1200.0,4,Süd
2025-04-11,Tisch,Möbel,300.0,9,Nord
2025-10-16,Hammer,Werkzeug,20.0,14,West
2025-12-19,Hammer,Werkzeug,20.0,4,Ost
2025-04-17,Jacke,Bekleidung,120.0,10,Süd
2025-10-14,Jeans,Bekleidung,60.0,19,Nord
2025-03-27,Smartwatch,Elektronik,200.0,17,West
2025-12-16,T-Shirt,Bekleidung,20.0,9,Nord
2025-12-22,Tastatur,Elektronik,45.0,6,Nord
2025-03-11,Sneaker,Bekleidung,100.0,7,West
2025-10-03,Sofa,Möbel,900.0,7,Nord
2025-08-07,Säge,Werkzeug,70.0,14,West
2025-12-22,Tablet,Elektronik,400.0,3,West
2025-09-16,Regal,Möbel,200.0,11,Ost
2025-06-28,Stuhl,Möbel,150.0,17,Süd
2025-09-03,Smartwatch,Elektronik,200.0,1,Süd
2025-05-22,Milch,Lebensmittel,1.5,15,Ost
2025-07-21,Lampe,Möbel,80.0,19,West
2025-03-10,Smartwatch,Elektronik,200.0,2,Ost
2025-01-23,Jacke,Bekleidung,120.0,1,Nord
2025-04-25,T-Shirt,Bekleidung,20.0,19,Süd
2025-08-28,Brot,Lebensmittel,3.0,3,Ost
2025-12-26,Jacke,Bekleidung,120.0,9,Ost
2025-08-16,Schraubenzieher,Werkzeug,15.0,20,West
2025-09-23,Tastatur,Elektronik,45.0,16,Ost
2025-10-14,Sofa,Möbel,900.0,20,Ost
2025-11-15,Stuhl,Möbel,150.0,15,Nord
2025-06-21,Laptop,Elektronik,1200.0,20,West
2025-08-24,Tastatur,Elektronik,45.0,14,Süd
2025-05-22,Schraubenzieher,Werkzeug,15.0,20,Nord
2025-07-12,Sofa,Möbel,900.0,3,Nord
2025-09-16,Bohrmaschine,Werkzeug,150.0,18,Ost
2025-07-20,Regal,Möbel,200.0,16,Süd
2025-08-12,Säge,Werkzeug,70.0,10,Nord
2025-08-25,Schraubenzieher,Werkzeug,15.0,18,Ost
2025-08-27,Kaffee,Lebensmittel,8.0,1,Nord
2025-12-15,Jacke,Bekleidung,120.0,7,West
2025-06-04,Smartwatch,Elektronik,200.0,18,Süd
2025-06-27,Kaffee,Lebensmittel,8.0,5,Nord
2025-12-25,Jacke,Bekleidung,120.0,8,Nord
2025-01-21,Tastatur,Elektronik,45.0,3,Nord
2025-07-24,Stuhl,Möbel,150.0,10,Süd
2025-05-07,Milch,Lebensmittel,1.5,2,Ost
2025-01-21,Milch,Lebensmittel,1.5,20,Nord
2025-02-22,Lampe,Möbel,80.0,19,West
2025-09-11,Säge,Werkzeug,70.0,15,Ost
